"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"64","93583.71875","93583.71875","93583.71875","51721.05859375","51721.05859375","51721.05859375","189744.546875","189744.546875","189744.546875","","","","96135.234375","96135.234375","96135.234375"
"65","93410.203125","93410.203125","93410.203125","51773.8125","51773.8125","51773.8125","189929.3125","189929.3125","189929.3125","","","","96115.9140625","96115.9140625","96115.9140625"
"66","92959.078125","92959.078125","92959.078125","51683.38671875","51683.38671875","51683.38671875","189151.234375","189151.234375","189151.234375","","","","96498.953125","96498.953125","96498.953125"
"67","92976.3125","92976.3125","92976.3125","51700.8984375","51700.8984375","51700.8984375","191815.28125","191815.28125","191815.28125","","","","95888.3828125","95888.3828125","95888.3828125"
"68","92958.6015625","92958.6015625","92958.6015625","51724.171875","51724.171875","51724.171875","188322.671875","188322.671875","188322.671875","","","","96270.46875","96270.46875","96270.46875"
"69","93335.5546875","93335.5546875","93335.5546875","51654.20703125","51654.20703125","51654.20703125","189737.4375","189737.4375","189737.4375","","","","96274.4296875","96274.4296875","96274.4296875"
"70","93383.703125","93383.703125","93383.703125","51781.3203125","51781.3203125","51781.3203125","189533.71875","189533.71875","189533.71875","","","","95921.1953125","95921.1953125","95921.1953125"
"71","92982.7734375","92982.7734375","92982.7734375","51661.56640625","51661.56640625","51661.56640625","189348.4375","189348.4375","189348.4375","","","","96245.5390625","96245.5390625","96245.5390625"
"72","93085.4921875","93085.4921875","93085.4921875","51694.58203125","51694.58203125","51694.58203125","189560.453125","189560.453125","189560.453125","","","","96198.875","96198.875","96198.875"
"73","93130.1484375","93130.1484375","93130.1484375","51677.57421875","51677.57421875","51677.57421875","190524.1875","190524.1875","190524.1875","","","","96378.609375","96378.609375","96378.609375"
"74","92949.7734375","92949.7734375","92949.7734375","51727.67578125","51727.67578125","51727.67578125","189185.90625","189185.90625","189185.90625","","","","95915.5859375","95915.5859375","95915.5859375"
"75","93746.3359375","93746.3359375","93746.3359375","51757.86328125","51757.86328125","51757.86328125","189957.859375","189957.859375","189957.859375","","","","96645.171875","96645.171875","96645.171875"
"76","94964.2578125","94964.2578125","94964.2578125","51692.28125","51692.28125","51692.28125","189529.953125","189529.953125","189529.953125","","","","95898.5859375","95898.5859375","95898.5859375"
