"Step","saturate_1M_15B_2 - train/CE loss","saturate_1M_15B_2 - train/CE loss__MIN","saturate_1M_15B_2 - train/CE loss__MAX","saturate_60M_15B - train/CE loss","saturate_60M_15B - train/CE loss__MIN","saturate_60M_15B - train/CE loss__MAX","saturate_moe1Bsparse_15B - train/CE loss","saturate_moe1Bsparse_15B - train/CE loss__MIN","saturate_moe1Bsparse_15B - train/CE loss__MAX","saturate_moe1Bolmo_15B - train/CE loss","saturate_moe1Bolmo_15B - train/CE loss__MIN","saturate_moe1Bolmo_15B - train/CE loss__MAX","saturate_135M_15B_03 - train/CE loss","saturate_135M_15B_03 - train/CE loss__MIN","saturate_135M_15B_03 - train/CE loss__MAX","saturate_1B_15B.py - train/CE loss","saturate_1B_15B.py - train/CE loss__MIN","saturate_1B_15B.py - train/CE loss__MAX","saturate_271M_15_2_cont - train/CE loss","saturate_271M_15_2_cont - train/CE loss__MIN","saturate_271M_15_2_cont - train/CE loss__MAX","saturate_271M_15B_2 - train/CE loss","saturate_271M_15B_2 - train/CE loss__MIN","saturate_271M_15B_2 - train/CE loss__MAX"
"58","10.418169021606445","10.418169021606445","10.418169021606445","7.010035037994385","7.010035037994385","7.010035037994385","7.480344772338867","7.480344772338867","7.480344772338867","6.458002090454102","6.458002090454102","6.458002090454102","7.272054672241211","7.272054672241211","7.272054672241211","6.6802778244018555","6.6802778244018555","6.6802778244018555","","","","6.914719104766846","6.914719104766846","6.914719104766846"
"59","10.404901504516602","10.404901504516602","10.404901504516602","6.994483947753906","6.994483947753906","6.994483947753906","7.428488254547119","7.428488254547119","7.428488254547119","6.4372429847717285","6.4372429847717285","6.4372429847717285","7.189664840698242","7.189664840698242","7.189664840698242","6.660018444061279","6.660018444061279","6.660018444061279","","","","6.859934329986572","6.859934329986572","6.859934329986572"
"60","10.391908645629883","10.391908645629883","10.391908645629883","7.00726318359375","7.00726318359375","7.00726318359375","7.462092399597168","7.462092399597168","7.462092399597168","6.428536891937256","6.428536891937256","6.428536891937256","7.206680774688721","7.206680774688721","7.206680774688721","6.640244007110596","6.640244007110596","6.640244007110596","","","","6.884927272796631","6.884927272796631","6.884927272796631"
"61","10.377849578857422","10.377849578857422","10.377849578857422","6.95291805267334","6.95291805267334","6.95291805267334","7.405396938323975","7.405396938323975","7.405396938323975","6.41454553604126","6.41454553604126","6.41454553604126","7.174689769744873","7.174689769744873","7.174689769744873","6.639000415802002","6.639000415802002","6.639000415802002","","","","6.860904693603516","6.860904693603516","6.860904693603516"
"62","10.364171981811523","10.364171981811523","10.364171981811523","6.943385124206543","6.943385124206543","6.943385124206543","7.392493724822998","7.392493724822998","7.392493724822998","6.416337490081787","6.416337490081787","6.416337490081787","7.148158073425293","7.148158073425293","7.148158073425293","6.661465644836426","6.661465644836426","6.661465644836426","","","","6.8313822746276855","6.8313822746276855","6.8313822746276855"
"63","10.348916053771973","10.348916053771973","10.348916053771973","6.914361953735352","6.914361953735352","6.914361953735352","7.542679786682129","7.542679786682129","7.542679786682129","6.392597198486328","6.392597198486328","6.392597198486328","7.128547668457031","7.128547668457031","7.128547668457031","6.60776948928833","6.60776948928833","6.60776948928833","","","","6.827369689941406","6.827369689941406","6.827369689941406"
"64","10.33312702178955","10.33312702178955","10.33312702178955","6.870711803436279","6.870711803436279","6.870711803436279","7.366340637207031","7.366340637207031","7.366340637207031","6.379671096801758","6.379671096801758","6.379671096801758","7.095479965209961","7.095479965209961","7.095479965209961","6.613372325897217","6.613372325897217","6.613372325897217","","","","6.80087947845459","6.80087947845459","6.80087947845459"
"65","10.319427490234375","10.319427490234375","10.319427490234375","6.865319728851318","6.865319728851318","6.865319728851318","7.324428081512451","7.324428081512451","7.324428081512451","6.359810829162598","6.359810829162598","6.359810829162598","7.088637828826904","7.088637828826904","7.088637828826904","6.62520170211792","6.62520170211792","6.62520170211792","","","","6.7921953201293945","6.7921953201293945","6.7921953201293945"
"66","10.301685333251953","10.301685333251953","10.301685333251953","6.819117069244385","6.819117069244385","6.819117069244385","7.3388471603393555","7.3388471603393555","7.3388471603393555","6.328113079071045","6.328113079071045","6.328113079071045","7.033064365386963","7.033064365386963","7.033064365386963","6.586242198944092","6.586242198944092","6.586242198944092","","","","6.734076499938965","6.734076499938965","6.734076499938965"
"67","10.28832721710205","10.28832721710205","10.28832721710205","6.831666469573975","6.831666469573975","6.831666469573975","7.311492443084717","7.311492443084717","7.311492443084717","6.369036674499512","6.369036674499512","6.369036674499512","7.055609226226807","7.055609226226807","7.055609226226807","6.625575542449951","6.625575542449951","6.625575542449951","","","","6.768087387084961","6.768087387084961","6.768087387084961"
"68","10.27165699005127","10.27165699005127","10.27165699005127","6.782254219055176","6.782254219055176","6.782254219055176","7.214535713195801","7.214535713195801","7.214535713195801","6.438105583190918","6.438105583190918","6.438105583190918","7.002903461456299","7.002903461456299","7.002903461456299","6.556172847747803","6.556172847747803","6.556172847747803","","","","6.719882488250732","6.719882488250732","6.719882488250732"
"69","10.253780364990234","10.253780364990234","10.253780364990234","6.732706069946289","6.732706069946289","6.732706069946289","7.139798164367676","7.139798164367676","7.139798164367676","6.314778804779053","6.314778804779053","6.314778804779053","6.941125869750977","6.941125869750977","6.941125869750977","6.521309852600098","6.521309852600098","6.521309852600098","","","","6.659628391265869","6.659628391265869","6.659628391265869"
"70","10.236763954162598","10.236763954162598","10.236763954162598","6.714614391326904","6.714614391326904","6.714614391326904","7.17673397064209","7.17673397064209","7.17673397064209","6.291519641876221","6.291519641876221","6.291519641876221","6.913384437561035","6.913384437561035","6.913384437561035","6.492021560668945","6.492021560668945","6.492021560668945","","","","6.65269660949707","6.65269660949707","6.65269660949707"
